Indice,Escuela,Edad,Sexo,Esc.Madre,Orig.Madre,Scr.Tiempo,Scr.Correctas,Tecle.Correctas
1,A,17,M,SI,Argentino,1079,8,26
2,A,17,M,PI,Boliviano,1092,8,18
3,A,18,F,NA,Boliviano,1360,6,20
4,A,17,M,PC,Boliviano,1137,3,27
5,A,17,M,PC,Argentino,1120,9,25
6,A,17,M,PC,Argentino,579,9,43
7,A,16,M,SEC,Boliviano,1009,7,22
8,A,17,F,PI,Boliviano,974,7,27
9,A,16,F,SI,Boliviano,944,6,32
10,A,19,F,PI,Boliviano,1440,4,24
11,A,17,F,PI,Boliviano,1035,6,29
12,A,18,M,PC,Boliviano,2288,2,28
13,A,17,M,PC,Boliviano,974,4,27
14,A,17,F,SI,Argentino,635,9,35
15,A,18,F,PC,Boliviano,853,5,23
16,A,17,F,PI,Boliviano,1185,6,35
17,B,17,M,SC,Argentino,419,7,32
18,B,17,M,SC,Argentino,527,7,24
19,B,17,M,SC,Argentino,527,7,33
20,B,17,M,SC,Argentino,344,7,38
21,B,17,M,SC,Argentino,541,5,33
22,B,17,M,SC,Argentino,636,10,40
23,B,17,M,PC,Argentino,433,9,44
24,B,17,M,SC,Argentino,334,10,45
25,B,17,M,SC,Argentino,605,10,35
26,B,17,M,SC,Argentino,582,10,36
27,B,17,F,SC,Argentino,549,4,45
28,B,17,F,SC,Argentino,476,8,45
29,B,17,F,SC,Argentino,732,9,33
30,B,17,F,SC,Argentino,550,6,25
31,B,17,F,SC,Argentino,504,9,45
32,B,17,F,SC,Argentino,NA,NA,NA
33,B,17,F,SC,Argentino,421,8,60
34,B,17,M,SC,Argentino,414,8,50
35,B,17,M,SC,Argentino,439,4,43
36,B,17,M,SC,Argentino,484,9,37
37,B,17,M,SC,Argentino,636,6,31
38,B,17,M,SC,Argentino,343,7,33
39,B,17,F,SC,Argentino,NA,NA,NA
40,B,17,F,SC,Argentino,565,5,23
41,B,17,F,SC,Argentino,298,9,55
